Date,Open,High,Low,Close,Volume
10-Jun-22,16201.80,16201.80,16201.80,16201.80,18388
13-Jun-22,15774.40,15774.40,15774.40,15774.40,20003
14-Jun-22,15732.10,15732.10,15732.10,15732.10,19825
15-Jun-22,15692.15,15692.15,15692.15,15692.15,16063
16-Jun-22,15360.60,15360.60,15360.60,15360.60,21383
17-Jun-22,15293.50,15293.50,15293.50,15293.50,29074
20-Jun-22,15350.15,15350.15,15350.15,15350.15,18532
21-Jun-22,15638.80,15638.80,15638.80,15638.80,18934
22-Jun-22,15413.30,15413.30,15413.30,15413.30,16817
23-Jun-22,15556.65,15556.65,15556.65,15556.65,21722
24-Jun-22,15699.25,15699.25,15699.25,15699.25,18260
27-Jun-22,15832.05,15832.05,15832.05,15832.05,17770
28-Jun-22,15850.20,15850.20,15850.20,15850.20,18420
29-Jun-22,15799.10,15799.10,15799.10,15799.10,22529
30-Jun-22,15780.25,15780.25,15780.25,15780.25,23971
1-Jul-22,15752.05,15752.05,15752.05,15752.05,25892
4-Jul-22,15835.35,15835.35,15835.35,15835.35,19875
5-Jul-22,15810.85,15810.85,15810.85,15810.85,19130
6-Jul-22,15989.80,15989.80,15989.80,15989.80,22837
7-Jul-22,16132.90,16132.90,16132.90,16132.90,21465
8-Jul-22,16220.60,16220.60,16220.60,16220.60,20991
11-Jul-22,16216.00,16216.00,16216.00,16216.00,20241
12-Jul-22,16058.30,16058.30,16058.30,16058.30,16043
13-Jul-22,15966.65,15966.65,15966.65,15966.65,19650
14-Jul-22,15938.65,15938.65,15938.65,15938.65,18859
15-Jul-22,16049.20,16049.20,16049.20,16049.20,17031
18-Jul-22,16278.50,16278.50,16278.50,16278.50,19421
19-Jul-22,16340.55,16340.55,16340.55,16340.55,18069
20-Jul-22,16520.85,16520.85,16520.85,16520.85,22062
21-Jul-22,16605.25,16605.25,16605.25,16605.25,20603
22-Jul-22,16719.45,16719.45,16719.45,16719.45,18600
25-Jul-22,16631.00,16631.00,16631.00,16631.00,19384
26-Jul-22,16483.85,16483.85,16483.85,16483.85,20088
27-Jul-22,16641.80,16641.80,16641.80,16641.80,17608
28-Jul-22,16929.60,16929.60,16929.60,16929.60,26674
29-Jul-22,17158.25,17158.25,17158.25,17158.25,28241
1-Aug-22,17340.05,17340.05,17340.05,17340.05,23221
2-Aug-22,17345.45,17345.45,17345.45,17345.45,22577
3-Aug-22,17388.15,17388.15,17388.15,17388.15,20842
4-Aug-22,17382.00,17382.00,17382.00,17382.00,21848
5-Aug-22,17397.50,17397.50,17397.50,17397.50,20013
8-Aug-22,17525.10,17525.10,17525.10,17525.10,18475
10-Aug-22,17534.75,17534.75,17534.75,17534.75,21952
11-Aug-22,17659.00,17659.00,17659.00,17659.00,20477
12-Aug-22,17698.15,17698.15,17698.15,17698.15,18422
16-Aug-22,17825.25,17825.25,17825.25,17825.25,18495
17-Aug-22,17944.25,17944.25,17944.25,17944.25,21210
18-Aug-22,17956.50,17956.50,17956.50,17956.50,18442
19-Aug-22,17758.45,17758.45,17758.45,17758.45,21532
22-Aug-22,17490.70,17490.70,17490.70,17490.70,19605
23-Aug-22,17577.50,17577.50,17577.50,17577.50,20366
24-Aug-22,17604.95,17604.95,17604.95,17604.95,17820
25-Aug-22,17522.45,17522.45,17522.45,17522.45,17567
26-Aug-22,17558.90,17558.90,17558.90,17558.90,17501
29-Aug-22,17312.90,17312.90,17312.90,17312.90,19352
30-Aug-22,17759.30,17759.30,17759.30,17759.30,26284
1-Sep-22,17542.80,17542.80,17542.80,17542.80,26814
2-Sep-22,17539.45,17539.45,17539.45,17539.45,19549
5-Sep-22,17665.80,17665.80,17665.80,17665.80,17011
6-Sep-22,17655.60,17655.60,17655.60,17655.60,17521
7-Sep-22,17624.40,17624.40,17624.40,17624.40,25420
8-Sep-22,17798.75,17798.75,17798.75,17798.75,19925
9-Sep-22,17833.35,17833.35,17833.35,17833.35,20564
12-Sep-22,17936.35,17936.35,17936.35,17936.35,17648
13-Sep-22,18070.05,18070.05,18070.05,18070.05,21039
14-Sep-22,18003.75,18003.75,18003.75,18003.75,26612
15-Sep-22,17877.40,17877.40,17877.40,17877.40,22008
16-Sep-22,17530.85,17530.85,17530.85,17530.85,36014
19-Sep-22,17622.25,17622.25,17622.25,17622.25,19549
20-Sep-22,17816.25,17816.25,17816.25,17816.25,20457
21-Sep-22,17718.35,17718.35,17718.35,17718.35,19817
22-Sep-22,17629.80,17629.80,17629.80,17629.80,21304
23-Sep-22,17327.35,17327.35,17327.35,17327.35,23751
26-Sep-22,17016.30,17016.30,17016.30,17016.30,27533
27-Sep-22,17007.40,17007.40,17007.40,17007.40,22713
28-Sep-22,16858.60,16858.60,16858.60,16858.60,21401
29-Sep-22,16818.10,16818.10,16818.10,16818.10,24759
30-Sep-22,17094.35,17094.35,17094.35,17094.35,26206
3-Oct-22,16887.35,16887.35,16887.35,16887.35,21861
4-Oct-22,17274.30,17274.30,17274.30,17274.30,18480
6-Oct-22,17331.80,17331.80,17331.80,17331.80,20404
7-Oct-22,17314.65,17314.65,17314.65,17314.65,17043
10-Oct-22,17241.00,17241.00,17241.00,17241.00,16221
11-Oct-22,16983.55,16983.55,16983.55,16983.55,22178
12-Oct-22,17123.60,17123.60,17123.60,17123.60,18098
13-Oct-22,17014.35,17014.35,17014.35,17014.35,18190
14-Oct-22,17185.70,17185.70,17185.70,17185.70,17813
17-Oct-22,17311.80,17311.80,17311.80,17311.80,16888
18-Oct-22,17486.95,17486.95,17486.95,17486.95,18225
19-Oct-22,17512.25,17512.25,17512.25,17512.25,17201
20-Oct-22,17563.95,17563.95,17563.95,17563.95,18346
21-Oct-22,17576.30,17576.30,17576.30,17576.30,23547
24-Oct-22,17730.75,17730.75,17730.75,17730.75,3772
25-Oct-22,17656.35,17656.35,17656.35,17656.35,20338
27-Oct-22,17736.95,17736.95,17736.95,17736.95,24166
28-Oct-22,17786.80,17786.80,17786.80,17786.80,19100
31-Oct-22,18012.20,18012.20,18012.20,18012.20,19846
